stamp_sec,d_origin_m,det_box_m,det_horizon_m,odom_dt_sec,fy_px,horizon_row_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cls,score
1756104614.511571,35.330539,33.536585,36.184211,0.035107,550.000,315,122,331,158,372,GuardBoat,0.889941
1756104614.571522,35.530264,33.536585,36.830357,0.014965,550.000,315,122,330,158,371,GuardBoat,0.890119
1756104614.610515,35.530264,34.375000,36.830357,0.024029,550.000,315,122,331,159,371,GuardBoat,0.888209
1756104614.668652,35.720048,32.738095,36.184211,0.017859,550.000,315,122,330,159,372,GuardBoat,0.889765
1756104614.718180,35.720048,33.536585,36.184211,0.031670,550.000,315,123,331,159,372,GuardBoat,0.890560
1756104614.786123,35.897184,33.536585,36.184211,0.000411,550.000,315,123,331,159,372,GuardBoat,0.890671
1756104614.823848,35.897184,32.738095,35.560345,0.037314,550.000,315,122,331,159,373,GuardBoat,0.890915
1756104614.883667,36.077027,33.536585,36.184211,0.002890,550.000,315,123,331,159,372,GuardBoat,0.892691
1756104614.924127,36.077027,31.976744,34.957627,0.037570,550.000,315,123,331,159,374,GuardBoat,0.887977
1756104614.991254,36.264108,31.976744,34.957627,0.004674,550.000,315,123,331,160,374,GuardBoat,0.888962
1756104615.084053,36.441250,32.738095,36.184211,0.002551,550.000,315,124,330,159,372,GuardBoat,0.892090
1756104615.134611,36.441250,31.976744,35.560345,0.048008,550.000,315,124,330,159,373,GuardBoat,0.889817
1756104615.201063,36.628339,33.536585,36.830357,0.014436,550.000,315,124,330,160,371,GuardBoat,0.895115
1756104615.244458,36.805488,32.738095,36.184211,0.042192,550.000,315,124,330,159,372,GuardBoat,0.892091
1756104615.299191,36.805488,34.375000,37.500000,0.012541,550.000,315,124,330,159,370,GuardBoat,0.889927
1756104615.346678,36.992585,33.536585,36.830357,0.038996,550.000,315,124,330,160,371,GuardBoat,0.888392
1756104615.420275,36.992585,34.375000,37.500000,0.034601,550.000,315,124,330,160,370,GuardBoat,0.890786
1756104615.458477,37.172427,34.375000,37.500000,0.027220,550.000,315,124,330,159,370,GuardBoat,0.890300
1756104615.514275,37.172427,35.256410,38.194444,0.028578,550.000,315,124,330,160,369,GuardBoat,0.893672
1756104615.558388,37.359528,36.184211,38.194444,0.027333,550.000,315,125,331,160,369,GuardBoat,0.891398
1756104615.630155,37.359528,35.256410,38.194444,0.044434,550.000,315,125,330,160,369,GuardBoat,0.893152
1756104615.674442,37.546634,36.184211,38.194444,0.011302,550.000,315,125,331,160,369,GuardBoat,0.893016
1756104615.736067,37.733744,36.184211,38.194444,0.049700,550.000,315,125,331,160,369,GuardBoat,0.888375
1756104615.854175,37.923534,35.256410,38.194444,0.031615,550.000,315,125,330,161,369,GuardBoat,0.890144
1756104615.892785,37.923534,35.256410,38.194444,0.006995,550.000,315,125,330,161,369,GuardBoat,0.889967
1756104615.929458,37.923534,35.256410,38.194444,0.043667,550.000,315,126,330,160,369,GuardBoat,0.889518
1756104616.027029,38.100699,35.256410,38.194444,0.041215,550.000,315,126,330,161,369,GuardBoat,0.889561
1756104616.077566,38.290489,35.256410,38.194444,0.008271,550.000,315,126,330,161,369,GuardBoat,0.888732
1756104616.140135,38.477607,35.256410,38.194444,0.044726,550.000,315,127,330,161,369,GuardBoat,0.891345
1756104616.180260,38.477607,35.256410,38.194444,0.004601,550.000,315,126,330,162,369,GuardBoat,0.895499
1756104616.247245,38.664729,36.184211,38.915094,0.037639,550.000,315,126,330,162,368,GuardBoat,0.894178
1756104616.285151,38.664729,36.184211,38.915094,0.000267,550.000,315,127,330,161,368,GuardBoat,0.893765
1756104616.354252,38.854521,36.184211,38.915094,0.030655,550.000,315,127,330,161,368,GuardBoat,0.866980
1756104616.394302,38.854521,36.184211,38.915094,0.009395,550.000,315,127,330,161,368,GuardBoat,0.888796
1756104616.453051,39.041647,36.184211,38.915094,0.031880,550.000,315,127,330,161,368,GuardBoat,0.893893
1756104616.502990,39.041647,35.256410,38.194444,0.018060,550.000,315,127,330,161,369,GuardBoat,0.890772
1756104616.564569,39.218824,37.162162,39.663462,0.020386,550.000,315,127,330,161,367,GuardBoat,0.893172
1756104616.659157,39.408617,38.194444,40.441176,0.025821,550.000,315,127,330,161,366,GuardBoat,0.895311
1756104616.701818,39.408617,37.162162,39.663462,0.016841,550.000,315,127,330,161,367,GuardBoat,0.894240
1756104616.778104,39.595750,38.194444,40.441176,0.006897,550.000,315,128,330,162,366,GuardBoat,0.896106
1756104616.825337,39.595750,38.194444,40.441176,0.040336,550.000,315,128,330,162,366,GuardBoat,0.896713
1756104616.877397,39.782887,38.194444,40.441176,0.007626,550.000,315,128,330,162,366,GuardBoat,0.895546
1756104616.920053,39.782887,38.194444,40.441176,0.035031,550.000,315,128,330,162,366,GuardBoat,0.897393
